4026d4a	ossyahya60	Tue Jun 8 19:40:23 2021	Finished Android testing and added a test in Web testing
7c0fd69	ossyahya60	Wed May 19 17:26:10 2021	Consistent naming convention, multiple testing scenarios, and added testing edit tags
da10aec	ossyahya60	Sat May 8 19:24:17 2021	Three Tests for Flicker
cbc31be	Passant Ahmed	Wed May 5 20:58:31 2021	Initial commit
